id,nome,cpf,prioridade,data
1,Patricia Silva,92040873736,5,2022-12-18
2,Helena Araújo,89807625902,2,2025-02-03
3,Sara Pereira,18791538220,1,2024-03-28
4,Rafael Carvalho,58117317825,5,2020-12-18
5,Bruno Carvalho,50573979397,3,2024-08-27
6,Igor Almeida,99514290054,3,2020-12-25
7,Larissa Costa,84223987806,2,2025-08-16
8,Julia Gomes,00804949594,3,2024-01-14
9,Vanessa Oliveira,45547326355,3,2025-01-22
10,Eduardo Santos,32350108496,2,2022-11-17
11,Nathalia Ribeiro,22133044058,1,2023-02-12
12,Patricia Nascimento,62813755389,5,2022-07-31
13,Tiago Souza,38245911449,1,2021-07-11
14,Sara Costa,73017051094,4,2021-09-19
15,Daniela Oliveira,66231045471,4,2023-06-18
16,Marcos Pereira,94034839786,2,2025-02-05
17,Sara Almeida,87256634704,3,2024-07-01
18,Patricia Santos,41411263263,1,2024-11-11
19,Kaique Nascimento,87038014826,3,2025-10-01
20,Kaique Lima,49873069947,1,2025-05-26
21,Helena Almeida,55478393438,5,2021-04-05
22,Helena Ribeiro,61841058961,2,2024-12-13
23,Marcos Lima,71363686568,3,2025-08-30
24,Larissa Rodrigues,34000252847,1,2021-11-19
25,Otavio Nascimento,93872815232,1,2020-12-23
26,Marcos Carvalho,55772183075,3,2024-10-03
27,Fernanda Silva,31272524533,1,2022-01-08
28,Helena Pereira,10285134184,2,2022-02-15
29,Vanessa Carvalho,38288735301,5,2021-03-27
30,Igor Ribeiro,60823748851,2,2022-04-10
31,Kaique Rodrigues,34745093619,1,2023-10-03
32,Larissa Carvalho,69271494630,3,2022-03-09
33,Bruno Costa,62949449841,1,2021-05-01
34,Igor Lima,75295177435,1,2021-11-11
35,Kaique Carvalho,75207047430,1,2023-05-28
36,Sara Pereira,44605776679,1,2025-02-28
37,Bruno Rodrigues,72357268239,1,2022-04-16
38,Sara Nascimento,46344802104,4,2024-02-07
39,Tiago Almeida,27712147478,1,2024-07-06
40,Patricia Carvalho,37806647873,1,2021-11-19
41,Fernanda Almeida,52206494190,2,2022-08-12
42,Larissa Silva,27565756879,4,2022-01-22
43,Vanessa Silva,90697384856,4,2023-05-29
44,Nathalia Oliveira,71084828225,4,2025-07-17
45,Otavio Lima,58904066913,3,2022-05-21
46,Helena Gomes,03747474973,4,2023-04-28
47,Rafael Souza,31692240308,1,2024-02-06
48,Otavio Pereira,12863026891,2,2025-03-22
49,Ana Santos,33866741204,1,2023-09-05
50,Sara Pereira,84266103914,5,2024-02-24
51,Bruno Ribeiro,65735448041,2,2025-08-11
52,Vanessa Silva,91923060993,2,2021-11-26
53,Eduardo Souza,53483951544,3,2023-07-24
54,Daniela Gomes,64174999522,3,2023-09-22
55,Carlos Rodrigues,01375052433,2,2021-12-09
56,Fernanda Carvalho,82671914180,2,2021-12-19
57,Igor Gomes,39921981057,4,2025-03-29
58,Gustavo Carvalho,81922926797,2,2025-05-15
59,Marcos Oliveira,97586365735,5,2023-06-14
60,Carlos Pereira,89835042977,2,2023-03-24
61,Otavio Souza,51982321417,5,2022-08-14
62,Marcos Oliveira,56396390605,5,2025-03-10
63,Otavio Lima,22893133143,1,2025-03-31
64,Patricia Oliveira,34897112186,1,2022-11-09
65,Ana Gomes,44514421296,3,2025-02-20
66,Otavio Santos,43997221210,5,2022-10-04
67,Helena Silva,18185593237,1,2025-04-26
68,Ana Oliveira,34734289071,1,2020-12-06
69,Bruno Ribeiro,55128913668,3,2021-08-02
70,Ana Pereira,12827654282,5,2023-03-04
71,Patricia Ribeiro,47607180792,2,2023-03-21
72,Eduardo Gomes,78729730189,2,2023-04-26
73,Otavio Almeida,36435891854,1,2024-10-18
74,Vanessa Souza,68619269354,2,2022-02-25
75,Marcos Lima,04881630241,1,2022-07-11
76,Eduardo Pereira,55632840246,5,2023-08-29
77,Igor Pereira,52534482988,4,2023-02-06
78,Patricia Rodrigues,72252644233,1,2021-08-15
79,Tiago Almeida,82403423795,2,2022-02-05
80,Igor Almeida,96557521190,1,2025-11-22
81,Nathalia Pereira,83855736980,2,2024-05-10
82,Gustavo Souza,26510893297,3,2024-05-10
83,Julia Gomes,79692336847,3,2023-09-24
84,Sara Araújo,48502075937,4,2023-06-09
85,Gustavo Lima,44612158038,4,2023-08-04
86,Nathalia Carvalho,89318504446,5,2023-09-20
87,Fernanda Oliveira,88936805954,4,2021-01-01
88,Gustavo Costa,62768654241,3,2021-10-18
89,Vanessa Gomes,50921939965,4,2025-11-18
90,Otavio Lima,64278372966,2,2022-04-17
91,Rafael Nascimento,98649797678,3,2022-03-05
92,Nathalia Carvalho,92737767052,2,2022-07-20
93,Gustavo Almeida,87397628189,4,2025-05-21
94,Patricia Rodrigues,75106166185,5,2025-02-11
95,Carlos Rodrigues,13905747751,5,2020-12-26
96,Bruno Araújo,23623767491,5,2023-04-10
97,Helena Souza,63547990760,2,2022-11-13
98,Carlos Oliveira,61298492077,3,2023-09-20
99,Julia Rodrigues,31388858536,1,2021-01-23
100,Larissa Araújo,71182352344,1,2023-12-18
101,Bruno Araújo,55413919834,5,2021-08-07
102,Carlos Pereira,21847646592,3,2023-07-23
103,Vanessa Rodrigues,88597716632,3,2021-02-23
104,Larissa Ribeiro,44013435156,1,2022-01-24
105,Otavio Carvalho,09198160638,3,2022-11-23
106,Otavio Ribeiro,82731612788,4,2022-03-17
107,Gustavo Lima,96649995694,1,2025-10-05
108,Nathalia Gomes,46668608182,4,2025-11-04
109,Fernanda Oliveira,76426458888,1,2024-10-28
110,Nathalia Ribeiro,43638477278,2,2024-10-05
111,Julia Lima,66754228662,1,2021-05-30
112,Bruno Oliveira,49766954470,1,2023-07-21
113,Marcos Pereira,71100456962,5,2022-06-04
114,Vanessa Rodrigues,15054841406,5,2024-03-17
115,Gustavo Carvalho,89708968270,4,2023-10-14
116,Rafael Santos,50083173786,4,2024-08-14
117,Gustavo Carvalho,85084221979,2,2024-06-22
118,Otavio Rodrigues,74687112327,3,2024-09-24
119,Marcos Santos,65156972578,2,2022-03-09
120,Julia Pereira,99563354794,3,2021-06-29
121,Helena Rodrigues,76300084694,1,2025-09-25
122,Ana Santos,66756016382,1,2021-06-23
123,Vanessa Pereira,34280871483,2,2023-05-15
124,Ana Souza,36451973697,3,2022-11-18
125,Daniela Santos,92241522627,1,2023-10-22
126,Otavio Pereira,73296631907,5,2021-09-16
127,Rafael Rodrigues,63492721722,2,2022-02-26
128,Marcos Santos,98011817066,5,2021-08-24
129,Fernanda Gomes,35141333581,5,2022-07-18
130,Gustavo Pereira,19482413487,3,2024-12-03
131,Patricia Carvalho,79262976232,3,2024-09-11
132,Fernanda Silva,05539469676,2,2021-05-09
133,Eduardo Nascimento,09499040008,5,2024-04-16
134,Vanessa Almeida,20366404278,3,2021-04-15
135,Julia Costa,94094445156,3,2021-08-04
136,Nathalia Carvalho,79773617506,4,2024-09-30
137,Nathalia Araújo,36874592612,4,2021-09-06
138,Tiago Rodrigues,32000715506,1,2022-09-21
139,Nathalia Costa,21082890884,5,2025-02-12
140,Sara Silva,73111088350,1,2021-03-31
141,Marcos Ribeiro,08043180921,1,2021-08-09
142,Rafael Souza,12454374033,5,2025-05-16
143,Kaique Rodrigues,13491794356,4,2021-09-29
144,Julia Souza,18296204857,3,2025-08-20
145,Sara Santos,83517568075,2,2025-07-07
146,Tiago Rodrigues,27384677213,5,2023-01-01
147,Ana Nascimento,88310034025,5,2022-09-03
148,Helena Araújo,54540419609,5,2023-09-23
149,Vanessa Pereira,03081597569,5,2022-03-09
150,Julia Lima,53796012865,1,2021-04-29
151,Patricia Ribeiro,29672763546,5,2023-07-06
152,Tiago Rodrigues,00154767381,3,2023-10-17
153,Ana Santos,64602625247,3,2024-01-18
154,Nathalia Ribeiro,69109561252,3,2023-04-12
155,Larissa Carvalho,37950290947,5,2023-11-04
156,Carlos Lima,41476437538,5,2023-10-24
157,Eduardo Souza,66872329173,3,2023-03-17
158,Igor Silva,68590012513,1,2025-05-28
159,Carlos Araújo,32003379498,4,2024-10-23
160,Julia Santos,77661134951,5,2021-03-25
161,Marcos Souza,90696181847,5,2024-02-17
162,Marcos Rodrigues,00617950953,5,2025-02-26
163,Marcos Santos,96206692125,5,2023-03-18
164,Fernanda Souza,00687039300,4,2023-04-17
165,Patricia Araújo,30677092232,1,2024-07-26
166,Gustavo Silva,74287352651,1,2020-12-16
167,Julia Gomes,21661312116,1,2025-04-07
168,Rafael Costa,75104142768,2,2023-05-02
169,Patricia Rodrigues,62532118987,5,2021-01-16
170,Carlos Carvalho,77883083827,4,2021-06-06
171,Vanessa Lima,16571078999,5,2025-05-16
172,Gustavo Almeida,16639304291,5,2023-10-13
173,Tiago Almeida,44723795955,2,2021-10-23
174,Eduardo Costa,39758641265,5,2023-09-09
175,Ana Pereira,80910586069,2,2021-05-21
176,Julia Silva,64816196047,4,2023-10-14
177,Fernanda Carvalho,22018068547,1,2025-05-12
178,Julia Pereira,03622078843,4,2023-02-17
179,Kaique Nascimento,73103450432,2,2022-11-19
180,Igor Oliveira,28780269090,4,2023-10-25
181,Tiago Rodrigues,17780211320,4,2023-01-17
182,Igor Pereira,62218217995,2,2022-04-23
183,Patricia Silva,93411916812,2,2021-11-07
184,Carlos Oliveira,88716846388,4,2021-06-25
185,Gustavo Carvalho,37908616913,4,2022-11-10
186,Daniela Costa,36446443446,4,2022-10-19
187,Otavio Rodrigues,83453397920,4,2023-10-17
188,Nathalia Nascimento,06198800645,5,2023-05-19
189,Tiago Santos,54190346739,5,2023-03-16
190,Gustavo Silva,63283376930,2,2020-12-02
191,Vanessa Santos,90763239777,4,2021-06-18
192,Daniela Pereira,35018651487,3,2023-10-26
193,Larissa Lima,08466401004,2,2023-07-04
194,Vanessa Almeida,06883274673,4,2022-07-29
195,Vanessa Gomes,87976132498,3,2024-11-29
196,Julia Oliveira,96806767864,2,2021-02-07
197,Nathalia Carvalho,12317782651,1,2020-12-07
198,Igor Almeida,57382079535,5,2021-06-06
199,Vanessa Santos,03840639675,2,2024-01-23
200,Vanessa Oliveira,61608105090,2,2021-01-09
201,Ana Almeida,05514981385,3,2024-01-21
202,Kaique Carvalho,69006506572,5,2023-01-01
203,Tiago Gomes,03843111519,1,2025-05-15
204,Fernanda Carvalho,68748227992,2,2024-12-28
205,Patricia Ribeiro,37119193466,5,2025-11-19
206,Vanessa Gomes,01669198850,2,2024-03-04
207,Larissa Silva,51017610420,1,2022-02-26
208,Bruno Gomes,21298033048,1,2024-05-08
209,Carlos Oliveira,40586317387,1,2021-06-13
210,Larissa Santos,30887446736,1,2021-08-18
211,Bruno Costa,64750237616,1,2024-03-13
212,Fernanda Pereira,30444096770,4,2022-07-11
213,Helena Oliveira,77712095744,5,2022-12-14
